number,value,params_bb_dev,params_bb_window,params_ema_period,user_attrs_cagr,user_attrs_final_nav,user_attrs_max_dd,user_attrs_n_trades,user_attrs_sharpe,user_attrs_total_ret,user_attrs_vol,user_attrs_win_rate
48,1.4961258070003438,3.0,80,450,0.3336367201267232,229.07754514857973,-0.16169732636523088,73.0,1.4961258070003438,1.2907754514857972,0.2067079122679036,41.0958904109589
49,0.3215956720792103,2.5,50,650,0.048187045137788376,114.50993728469443,-0.2687165449690671,158.0,0.3215956720792103,0.1450993728469443,0.22515627509351335,28.48101265822785
50,1.6534064232041468,3.0,80,850,0.36267635685693134,243.7339514390985,-0.15288573993437946,62.0,1.6534064232041468,1.437339514390985,0.19914303250936757,41.935483870967744
51,1.6534064232041468,3.0,80,850,0.36267635685693134,243.7339514390985,-0.15288573993437946,62.0,1.6534064232041468,1.437339514390985,0.19914303250936757,41.935483870967744
52,1.6534064232041468,3.0,80,850,0.36267635685693134,243.7339514390985,-0.15288573993437946,62.0,1.6534064232041468,1.437339514390985,0.19914303250936757,41.935483870967744
53,0.5150041464094243,2.5,65,550,0.095884695095938,130.16159304250039,-0.24240553209548188,137.0,0.5150041464094243,0.3016159304250039,0.22846997760731927,30.656934306569344
54,1.2289772761667754,2.75,95,750,0.27735412691669414,202.33443070795184,-0.2647097216058786,78.0,1.2289772761667754,1.0233443070795185,0.21864155617734068,32.05128205128205
55,1.4168210648964772,3.25,75,800,0.2890901962853536,207.7328278135572,-0.14609135948146715,56.0,1.4168210648964772,1.077328278135572,0.19226840020128605,41.07142857142857
56,1.1059435352682738,2.75,100,700,0.24486021625399212,187.8675353853045,-0.2647454214647116,77.0,1.1059435352682738,0.878675353853045,0.21991645397838588,29.87012987012987
57,0.8572484685566546,3.25,35,900,0.13938461884047593,145.59742216228096,-0.2016057185341567,87.0,0.8572484685566546,0.45597422162280954,0.16884031020669796,36.7816091954023
58,0.41904010821651144,3.0,20,1000,0.05543002255203566,116.80280217858723,-0.20115820781326993,129.0,0.41904010821651144,0.16802802178587228,0.1588695673171035,35.65891472868217
59,0.3550059493659413,2.5,70,550,0.05600687134976101,116.9866886453939,-0.2737846234715107,128.0,0.3550059493659413,0.169866886453939,0.22450171381182996,29.6875
60,1.197774178833906,3.0,60,900,0.2435786529901649,187.31125717207794,-0.17797821783706314,80.0,1.197774178833906,0.8731125717207795,0.19842978752296947,35.0
61,1.5988354489041319,3.0,85,850,0.34811184622900626,236.30904531779467,-0.16367525602918362,60.0,1.5988354489041319,1.3630904531779469,0.19922913421934732,40.0
62,1.6204426023606184,3.0,80,750,0.3558256482776587,240.2228232541638,-0.1517658284195415,65.0,1.6204426023606184,1.402228232541638,0.2002159513134335,41.53846153846154
63,1.5026379872009248,2.75,75,1000,0.34736179652321875,235.9307260940576,-0.1655203573298571,80.0,1.5026379872009248,1.359307260940576,0.21359565747040749,45.0
64,1.1379690659374946,3.25,100,800,0.22969831496415138,181.35506770657258,-0.2381361960228556,50.0,1.1379690659374946,0.8135506770657259,0.1991310770723852,32.0
65,1.6731738263072455,3.0,85,900,0.3725731683645721,248.86515364002017,-0.16017583958000478,60.0,1.6731738263072455,1.4886515364002015,0.20138062612661595,41.66666666666667
66,0.6933099254814362,1.5,90,1050,0.15631803734060434,151.91451076507025,-0.2584367631608197,156.0,0.6933099254814362,0.5191451076507025,0.2571748122941032,25.0
67,0.8601679295145653,2.75,200,900,0.1895266371035782,164.81695869573747,-0.20020114662043387,47.0,0.8601679295145653,0.6481695869573747,0.2334676012819448,40.42553191489361
68,1.3947029998376288,3.0,70,1150,0.28972841885916023,208.02906321344767,-0.16738938030467498,70.0,1.3947029998376288,1.0802906321344765,0.19622800434522591,40.0
69,1.518574733294094,2.75,95,1000,0.3677190934512886,246.3397419584194,-0.23063091170221783,74.0,1.518574733294094,1.4633974195841941,0.22252093099559594,36.486486486486484
70,0.36092688598236966,3.25,175,700,0.052266638093428686,115.79773939910508,-0.1725075330410641,37.0,0.36092688598236966,0.15797739399105093,0.19246899713793011,35.13513513513514
71,1.6534064232041468,3.0,80,850,0.36267635685693134,243.7339514390985,-0.15288573993437946,62.0,1.6534064232041468,1.437339514390985,0.19914303250936757,41.935483870967744
72,1.6731738263072455,3.0,85,900,0.3725731683645721,248.86515364002017,-0.16017583958000478,60.0,1.6731738263072455,1.4886515364002015,0.20138062612661595,41.66666666666667
